0,original_shape_Compactness2,original_shape_LeastAxis,original_shape_Elongation,logarithm_glrlm_GrayLevelNonUniformity,exponential_firstorder_Minimum,exponential_firstorder_Kurtosis,exponential_glszm_SmallAreaEmphasis,exponential_glszm_SmallAreaLowGrayLevelEmphasis,squareroot_glrlm_LongRunLowGrayLevelEmphasis,wavelet-LHL_glcm_InverseVariance,wavelet-LHH_firstorder_Mean,wavelet-LHH_firstorder_Skewness,wavelet-LHH_firstorder_Kurtosis,wavelet-LHH_glcm_ClusterShade,wavelet-HLL_firstorder_Mean,wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,wavelet-LLH_firstorder_Skewness,wavelet-LLH_glcm_Imc1,wavelet-HLH_firstorder_Median,wavelet-HHH_firstorder_Skewness,wavelet-HHH_glcm_Autocorrelation,wavelet-HHL_firstorder_Kurtosis,wavelet-HHL_glcm_InverseVariance,wavelet-HHL_glcm_MaximumProbability,wavelet-HHL_glszm_GrayLevelNonUniformity
1513571,1.0689083707722724,-0.03151796380039268,0.542849312429792,-0.5772601449801188,-0.59212459946625,-0.23230473669368443,-0.9778232638921237,-0.8825832151775241,-0.4252830302068052,0.6875175931473682,0.42200623067248016,1.9306123241730315,0.8411339758042347,-0.010640000281527371,0.27765508092567615,-0.7205000987133068,0.7749343318287147,0.7942812909087641,-0.6937186982136192,3.1459821303506534,0.655757070599035,-0.5542336648535227,0.4358721437219522,-0.33663122650403643,-0.6131524587721583
1516688,-0.3578214053409157,-1.4139461328564709,-0.579803708984778,-1.1192095726448785,4.207489282992155,-0.7658951277590896,-0.9778177029651676,-0.8825620276829232,-0.35550239864589755,0.7731708551536346,-0.16595934713623836,-0.21728348271619893,-0.710238234143634,-0.09567824447079364,0.3067969989831796,-0.7820840597850975,0.08048426674960159,-0.3407456387192747,-1.505895285945667,-0.18378555995466803,-0.20732643104076606,-0.8016246235096939,2.318281456634364,-0.6156931408123837,-0.4832067766448595
1520407,-1.3349828507071235,0.042409092834627314,0.18851520246420217,-0.36337327529344027,0.942651425695275,-0.17434019244273904,0.21029690084295408,-0.21838652462368388,-0.43194731859495705,-0.2309016016351632,0.25661979119035083,0.025208466286894795,-0.6057529860871647,-0.07564266282147289,-0.3074341995487401,-0.10308715074694977,-0.4736118246906826,0.04324866754629647,-0.02117799340929063,-0.6800233519439101,0.6577292198327315,0.3546684778281055,0.9402581490632496,-0.47198668073293837,-0.030895844627683966
1530123,0.35092298980362646,-0.988616673330388,0.94737580704491,-0.5869259988336066,-0.06220488591893783,0.5469019373077048,1.16604495507743,0.0686370960456029,-0.4213061024467082,-1.0392315817176616,0.24817987420497079,-0.35040946287881636,-0.4524523416131134,-0.08276498514562808,-0.5153027384691595,0.6332031907954025,-0.057027470601859837,0.30339880750013687,-0.12743656458399105,0.4121946259002392,-0.21687102842476308,0.18213698114022764,1.5022752655550218,-0.7381615973018439,0.9391680520996053
1584572,0.48907303373221406,0.36542629294205575,-0.16700984742053757,-0.0024197350405057738,1.0742687976017462,-0.2713716738200249,1.5555664708780788,1.530511412436101,-0.37257869618276995,0.08211375329407303,0.6775554403819324,3.689152452978933,4.197559574019213,0.5074678227400786,0.5798410265802129,-0.4423404594226513,0.534875683490594,1.0415375954771895,-1.3094976292794052,2.5117343302709765,0.6589488981227914,2.0059683970581137,-0.3195999658481922,0.03204244231467789,-0.10155149543618339
1623338,-0.6605357694467725,1.721218758152338,0.597597691053882,1.0160858227963163,-0.1190538387045227,-0.5126468666832936,1.0878474481449856,1.085001341810732,-0.43953661998682875,0.48149128166437144,-0.8405186850110092,1.5774807459220757,3.8329336206823847,0.11246431561512736,-0.02236483858934206,0.2908878283283854,-0.4664075307274585,1.035375208808651,-0.5442546202528831,0.01216636756612353,1.8267218438597304,4.638853721032188,-0.15857894818347082,-0.22053265837913114,0.5690707579651483
1639329,0.12591482497067824,0.822069943415178,0.7276755522846022,1.1106203828024457,0.7013140381714014,-0.33561029314251695,-0.6342547679723335,-0.555328996330361,-0.4209565506541351,0.35434791182176384,0.03159583063452192,-0.5401811160272543,-0.03063952313035816,-0.10269448729240796,-0.0492146254531179,-0.9923993491562559,-0.6700591661281884,0.588896868617301,0.3503581110481293,-0.5800535086391789,-0.22078268197722864,0.542266704318372,-0.9363940243847257,0.4074489721146095,-0.15184528722199875
1649096,-1.73240477231845,-0.3052153820570234,-1.2845819128160711,-0.7640269568415421,0.20564333178682054,0.1364860972061213,3.1450002865647195,3.0444735048899934,-0.3804226003524126,0.3660129298448673,0.6114086098572735,1.607325810843773,0.5435744314363704,0.023415802015889765,-0.4145210857798187,-0.7078757874824175,-0.28332021652921113,0.27772898261054807,1.1208921894644335,-0.10357439853897707,-0.21988009763688757,-0.147580095979986,0.0454154164705218,-0.007536195202160966,0.08162378833471311
1665919,0.923115969293136,-0.5763706166674937,1.1036836351031627,-0.6950284375795178,0.08748186069171235,3.276843546017634,0.2729811258895207,0.6519908886479858,-0.4053901187976054,0.09045043343228441,-1.5912788573035967,-3.0536095580403453,2.5415394183955122,-0.6041367111873749,0.22939328162188652,0.9687054638977988,-0.8732394091439148,0.6612583392928991,-0.4567201924123629,2.828983875055307,1.8337126874034941,3.592915351045254,0.7161816881883529,-1.5440062674081945,0.04233769437288166
1733323,-0.6542881744394078,0.07020132053009542,0.40227685110175415,0.4692932842048762,-0.2554957227062508,-0.6567383198500419,-0.9778229849609477,-0.8825821524315407,0.437050090079632,-0.6096858037268057,-0.21833908814839528,-0.1547088903583413,-0.679489744816667,-0.09778734050309429,0.1770036909622011,-0.9025063506463925,-0.060469306408851016,0.8741497631339613,0.29812216985696705,-0.14708194279822387,-0.806108779270095,-0.6826210479762201,-0.2638056464654392,0.5057513394296521,-0.10079519781405447
